"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality","rt.sulfur.dioxide"
"82",7.1,0.2,0.34,16,0.05,51,166,0.9985,3.21,0.6,9.2,6,7.14142842854285
"2621",6.5,0.28,0.28,20.4,0.041,40,144,1.0002,3.14,0.38,8.7,5,6.32455532033676
"2109",7.4,0.18,0.36,13.1,0.056,72,163,1,3.42,0.35,9.1,6,8.48528137423857
"2852",7.3,0.23,0.34,9.3,0.052,19,86,0.99574,3.04,0.56,10,5,4.35889894354067
"342",8,0.24,0.36,1.5,0.047,17,129,0.9948,3.2,0.54,10,6,4.12310562561766
"1705",6.7,0.31,0.42,6.4,0.057,25,148,0.9955,3.16,0.45,9.6,5,5
"580",6,0.38,0.26,6,0.034,42,134,0.9912,3.38,0.38,12.3,7,6.48074069840786
"2001",6.8,0.31,0.09,1.4,0.04,56,145,0.9922,3.19,0.46,10,5,7.48331477354788
"59",6.6,0.38,0.15,4.6,0.044,25,78,0.9931,3.11,0.38,10.2,6,5
"654",5.9,0.24,0.26,12.3,0.053,34,134,0.9972,3.34,0.45,9.5,6,5.8309518948453
"3285",8,0.34,0.25,6.4,0.035,38,103,0.99148,2.91,0.23,12.2,6,6.16441400296898
"1381",6.9,0.38,0.32,8.5,0.044,36,152,0.9932,3.38,0.35,12,7,6
"1496",7.6,0.29,0.49,9.6,0.03,45,197,0.9938,3.13,0.38,12.3,7,6.70820393249937
"1300",7.8,0.23,0.28,4.75,0.042,45,166,0.9928,2.96,0.4,11.5,5,6.70820393249937
"1714",6.6,0.34,0.27,6.2,0.059,23,136,0.9957,3.3,0.49,10.1,6,4.79583152331272
"4386",6.4,0.26,0.21,8.2,0.05,51,182,0.99542,3.23,0.48,9.5,5,7.14142842854285
"690",6.7,0.17,0.37,2,0.039,34,125,0.9922,3.26,0.6,10.8,7,5.8309518948453
"308",7.3,0.4,0.24,6.7,0.058,41,166,0.995,3.2,0.41,9.9,6,6.40312423743285
"4853",6.2,0.23,0.38,1.6,0.044,12,113,0.99176,3.3,0.73,11.4,5,3.46410161513775
"4514",6.8,0.4,0.29,2.8,0.044,27,97,0.9904,3.12,0.42,11.2,6,5.19615242270663
"4359",6.5,0.23,0.2,7.5,0.05,44,179,0.99504,3.18,0.48,9.533333333,5,6.6332495807108
"4427",6.2,0.21,0.52,6.5,0.047,28,123,0.99418,3.22,0.49,9.9,6,5.29150262212918
"2177",6.9,0.32,0.13,7.8,0.042,11,117,0.996,3.23,0.37,9.2,5,3.3166247903554
"4529",6.4,0.37,0.19,3.5,0.068,18,101,0.9934,3.03,0.38,9,6,4.24264068711928
"4544",6.9,0.28,0.37,9.1,0.037,16,76,0.9948,3.05,0.54,11.1,5,4
"1727",7,0.3,0.32,6.4,0.034,28,97,0.9924,3.23,0.44,11.8,6,5.29150262212918
"2794",6.5,0.37,0.3,2.2,0.033,39,107,0.98894,3.22,0.53,13.5,7,6.2449979983984
"1067",6.4,0.3,0.51,5.5,0.048,62,172,0.9942,3.08,0.45,9.1,6,7.87400787401181
"3043",6.3,0.33,0.42,17.2,0.037,57,170,0.99884,3.26,0.57,9.4,6,7.54983443527075
"3995",6.7,0.28,0.34,8.9,0.048,32,111,0.99455,3.25,0.54,11,7,5.65685424949238
"2127",6.5,0.43,0.28,12,0.056,23,174,0.9986,3.31,0.55,9.3,5,4.79583152331272
"666",7.8,0.28,0.22,1.4,0.056,24,130,0.9944,3.28,0.48,9.5,5,4.89897948556636
"200",6.8,0.26,0.24,7.8,0.052,54,214,0.9961,3.13,0.47,8.9,5,7.34846922834953
"2525",7.5,0.41,0.23,14.8,0.054,28,174,0.99898,3.18,0.49,9.7,5,5.29150262212918
"3377",6.6,0.18,0.28,1.7,0.041,53,161,0.99207,3.13,0.45,10.2,6,7.28010988928052
"1384",7.1,0.36,0.56,1.3,0.046,25,102,0.9923,3.24,0.33,10.5,6,5
"4694",6.7,0.16,0.32,12.5,0.035,18,156,0.99666,2.88,0.36,9,6,4.24264068711928
"2573",7,0.14,0.28,1.3,0.026,10,56,0.99352,3.46,0.45,9.9,5,3.16227766016838
"4028",6.4,0.26,0.26,1.1,0.052,22,176,0.99304,3.09,0.54,9.3,5,4.69041575982343
"3334",5.1,0.165,0.22,5.7,0.047,42,146,0.9934,3.18,0.55,9.9,6,6.48074069840786
"1368",7.6,0.27,0.24,3.8,0.058,19,115,0.9958,3.15,0.45,8.9,5,4.35889894354067
"1611",7.5,0.32,0.49,1.7,0.031,44,109,0.9906,3.07,0.46,12.5,6,6.6332495807108
"2241",7.2,0.29,0.18,8.2,0.042,41,180,0.99644,3.16,0.49,9.1,5,6.40312423743285
"3093",7.6,0.27,0.52,3.2,0.043,28,152,0.99129,3.02,0.53,11.4,6,5.29150262212918
"3563",7.6,0.37,0.34,3.2,0.028,42,162,0.9903,3.01,0.33,12.4,6,6.48074069840786
"30",7.2,0.32,0.36,2,0.033,37,114,0.9906,3.1,0.71,12.3,7,6.08276253029822
"3397",7.4,0.29,0.28,10.2,0.032,43,138,0.9951,3.1,0.47,10.6,6,6.557438524302
"3363",7.2,0.22,0.28,7.2,0.06,41,132,0.9935,3.08,0.59,11.3,6,6.40312423743285
"4880",6.6,0.34,0.4,8.1,0.046,68,170,0.99494,3.15,0.5,9.533333333,6,8.24621125123532
"2933",6.4,0.25,0.32,11.3,0.038,69,192,0.99573,3.14,0.5,10.2,6,8.30662386291807
"3616",7.2,0.24,0.3,1.2,0.037,11,95,0.98914,2.96,0.36,12.5,6,3.3166247903554
"4774",5.2,0.21,0.31,1.7,0.048,17,61,0.98953,3.24,0.37,12,7,4.12310562561766
"1892",7.6,0.33,0.41,13.7,0.045,44,197,0.9989,3.18,0.64,9.1,5,6.6332495807108
"792",5.9,0.24,0.3,2,0.033,28,92,0.99225,3.39,0.69,10.9,7,5.29150262212918
"1036",8.8,0.17,0.38,1.8,0.04,39,148,0.9942,3.16,0.67,10.2,6,6.2449979983984
"3152",6.2,0.23,0.36,17.2,0.039,37,130,0.99946,3.23,0.43,8.8,6,6.08276253029822
"296",6.3,0.33,0.27,1.2,0.046,34,175,0.9934,3.37,0.54,9.4,6,5.8309518948453
"120",7.3,0.32,0.48,13.3,0.06,57,196,0.9982,3.04,0.5,9.2,5,7.54983443527075
"810",6.2,0.3,0.26,13.4,0.046,57,206,0.99775,3.17,0.43,9.5,6,7.54983443527075
"1299",7.3,0.34,0.39,5.2,0.04,45,163,0.9925,3.3,0.47,12.4,6,6.70820393249937
"58",6,0.19,0.26,12.4,0.048,50,147,0.9972,3.3,0.36,8.9,6,7.07106781186548
"1479",7.9,0.22,0.24,4.6,0.044,39,159,0.9927,2.99,0.28,11.5,6,6.2449979983984
"446",7.1,0.32,0.32,11,0.038,16,66,0.9937,3.24,0.4,11.5,3,4
"527",7.2,0.31,0.46,5,0.04,3,29,0.9906,3.04,0.53,12.5,4,1.73205080756888
"4199",7.9,0.36,0.53,12.9,0.049,63,139,0.99792,2.94,0.45,9.1,5,7.93725393319377
"962",8,0.42,0.36,5,0.037,34,101,0.992,3.13,0.57,12.3,7,5.8309518948453
"3168",5.6,0.28,0.4,6.1,0.034,36,118,0.99144,3.21,0.43,12.1,7,6
"4695",6.9,0.19,0.31,19.25,0.043,38,167,0.99954,2.93,0.52,9.1,7,6.16441400296898
"2847",6.9,0.15,0.29,2.3,0.033,14,82,0.99132,3.1,0.58,11.2,7,3.74165738677394
"602",7.2,0.24,0.4,1.4,0.045,31,106,0.9914,2.88,0.38,10.8,6,5.56776436283002
"737",6.6,0.25,0.3,14.4,0.052,40,183,0.998,3.02,0.5,9.1,6,6.32455532033676
"3946",6.2,0.27,0.32,6.3,0.048,47,159,0.99282,3.21,0.6,11,6,6.85565460040104
"336",6.3,0.23,0.3,1.8,0.033,16,91,0.9906,3.28,0.4,11.8,6,4
"3369",6.6,0.18,0.28,1.7,0.041,53,161,0.99207,3.13,0.45,10.2,6,7.28010988928052
"1900",6.7,0.44,0.31,1.9,0.03,41,104,0.99,3.29,0.62,12.6,7,6.40312423743285
"2887",6.6,0.41,0.31,1.6,0.042,18,101,0.99195,3.13,0.41,10.5,5,4.24264068711928
"1445",7.8,0.43,0.49,13,0.033,37,158,0.9955,3.14,0.35,11.3,6,6.08276253029822
"3160",6.9,0.19,0.32,7.9,0.042,30,130,0.99456,3.4,0.39,10.5,6,5.47722557505166
"2813",6.7,0.16,0.34,1.6,0.026,27,109,0.9934,3.34,0.58,10.1,6,5.19615242270663
"365",6.8,0.16,0.4,2.3,0.037,18,102,0.9923,3.49,0.42,11.4,7,4.24264068711928
"4509",5.8,0.26,0.3,2.6,0.034,75,129,0.9902,3.2,0.38,11.5,4,8.66025403784439
"1995",7,0.28,0.33,14.6,0.043,47,168,0.9994,3.34,0.67,8.8,6,6.85565460040104
"1247",8,0.2,0.4,5.2,0.055,41,167,0.9953,3.18,0.4,10.6,7,6.40312423743285
"2143",7.5,0.26,0.52,13.2,0.047,64,179,0.9982,3.1,0.46,9,5,8
"3267",8.1,0.24,0.32,10.5,0.03,34,105,0.99407,3.11,0.42,11.8,6,5.8309518948453
"4660",6.6,0.25,0.25,1.3,0.04,28,85,0.98984,2.87,0.48,11.2,6,5.29150262212918
"1252",5.7,0.245,0.33,1.1,0.049,28,150,0.9927,3.13,0.42,9.3,5,5.29150262212918
"3021",8.4,0.32,0.35,11.7,0.029,3,46,0.99439,3.02,0.34,11.8,6,1.73205080756888
"1404",7.1,0.26,0.31,2.2,0.044,29,128,0.9937,3.34,0.64,10.9,8,5.3851648071345
"2597",7.8,0.28,0.31,2.1,0.046,28,208,0.99434,3.23,0.64,9.8,5,5.29150262212918
"4116",7.3,0.26,0.32,1.2,0.041,29,94,0.98978,3.07,0.45,12,6,5.3851648071345
"4234",6.3,0.23,0.33,6.9,0.052,23,118,0.9938,3.23,0.46,10.4,6,4.79583152331272
"2737",6.5,0.17,0.31,1.5,0.041,34,121,0.99092,3.06,0.46,10.5,6,5.8309518948453
"936",6.1,0.27,0.44,6.7,0.041,61,230,0.99505,3.12,0.4,8.9,5,7.81024967590665
"572",6.5,0.28,0.29,2.7,0.038,26,107,0.9912,3.32,0.41,11.6,7,5.09901951359278
"1784",8.7,0.45,0.4,1.5,0.067,17,100,0.9957,3.27,0.57,10.1,6,4.12310562561766
"2672",5.9,0.3,0.3,2,0.03,38,142,0.98892,3.41,0.41,12.9,7,6.16441400296898
"403",6.1,0.35,0.07,1.4,0.069,22,108,0.9934,3.23,0.52,9.2,5,4.69041575982343
"4030",6.1,0.28,0.3,7.75,0.031,33,139,0.99296,3.22,0.46,11,6,5.74456264653803
"1363",6.4,0.25,0.33,1.4,0.04,42,115,0.9906,3.19,0.48,11.3,7,6.48074069840786
"825",8.4,0.18,0.42,5.1,0.036,7,77,0.9939,3.16,0.52,11.7,5,2.64575131106459
"1377",6.9,0.27,0.41,1.7,0.047,6,134,0.9929,3.15,0.69,11.4,6,2.44948974278318
"4377",6.1,0.34,0.21,5,0.042,17,133,0.99373,3.02,0.53,9.4,5,4.12310562561766
"4826",6,0.34,0.29,6.1,0.046,29,134,0.99462,3.48,0.57,10.7,6,5.3851648071345
"4547",6.5,0.2,0.31,2.1,0.033,32,95,0.989435,2.96,0.61,12,6,5.65685424949238
"1629",8.2,0.2,0.49,3.5,0.057,14,108,0.9928,3.19,0.35,11.5,6,3.74165738677394
"1984",7.6,0.2,0.3,14.2,0.056,53,212.5,0.999,3.14,0.46,8.9,8,7.28010988928052
"789",5.8,0.34,0.16,7,0.037,26,116,0.9949,3.46,0.45,10,7,5.09901951359278
"3877",6.1,0.22,0.28,16.55,0.059,54,135,0.99665,3.2,0.38,10.5,5,7.34846922834953
"1502",8.3,0.2,0.49,1.7,0.04,34,169,0.9938,3.05,0.37,10.1,5,5.8309518948453
"2",6.3,0.3,0.34,1.6,0.049,14,132,0.994,3.3,0.49,9.5,6,3.74165738677394
"3304",6.3,0.22,0.34,5,0.032,36,93,0.99012,3.27,0.36,13.5,7,6
"2202",6,0.28,0.27,2.3,0.051,23,147,0.994,3.23,0.67,10.3,6,4.79583152331272
"1284",8,0.45,0.36,8.8,0.026,50,151,0.9927,3.07,0.25,12.7,8,7.07106781186548
"2731",6.8,0.3,0.22,6.2,0.06,41,190,0.99858,3.18,0.51,9.2,5,6.40312423743285
"78",7,0.32,0.34,1.3,0.042,20,69,0.9912,3.31,0.65,12,7,4.47213595499958
"3988",7.3,0.23,0.41,14.6,0.048,73,223,0.99863,3.16,0.71,9.4,6,8.54400374531753
"2470",6.8,0.34,0.1,1.4,0.049,29,118,0.9936,3.21,0.41,9.5,5,5.3851648071345
"4663",7.3,0.17,0.36,8.2,0.028,44,111,0.99272,3.14,0.41,12.4,6,6.6332495807108
"3450",6.6,0.15,0.32,6,0.033,59,128,0.99192,3.19,0.71,12.1,8,7.68114574786861
"1630",7.8,0.15,0.24,7.7,0.047,21,98,0.9951,2.94,0.31,9.6,6,4.58257569495584
"544",6.7,0.24,0.41,8.7,0.036,29,148,0.9952,3.22,0.62,9.9,6,5.3851648071345
"4365",6.4,0.29,0.21,9.65,0.041,36,119,0.99334,2.99,0.34,10.93333333,6,6
"178",5.9,0.23,0.3,12.9,0.054,57,170,0.9972,3.28,0.39,9.4,5,7.54983443527075
"329",6.5,0.28,0.35,15.4,0.042,55,195,0.9978,3.23,0.5,9.6,6,7.41619848709566
"3507",7.5,0.33,0.28,4.9,0.042,21,155,0.99385,3.36,0.57,10.9,6,4.58257569495584
"1337",7.8,0.29,0.36,7,0.042,38,161,0.9941,3.26,0.37,11.2,8,6.16441400296898
"2204",7.8,0.24,0.38,2.1,0.058,14,167,0.994,3.21,0.55,9.9,5,3.74165738677394
"2232",6.9,0.25,0.35,9.2,0.034,42,150,0.9947,3.21,0.36,11.5,6,6.48074069840786
"2230",6.9,0.25,0.35,9.2,0.034,42,150,0.9947,3.21,0.36,11.5,6,6.48074069840786
"523",6.9,0.25,0.4,1.3,0.038,22,101,0.9901,3.03,0.39,11.4,6,4.69041575982343
"3772",6.1,0.27,0.28,9.8,0.042,61,125,0.99532,3.14,0.42,10.2,6,7.81024967590665
"2828",6.4,0.14,0.31,1.2,0.034,53,138,0.99084,3.38,0.35,11.5,7,7.28010988928052
"4179",5.8,0.19,0.33,4.2,0.038,49,133,0.99107,3.16,0.42,11.3,7,7
"4548",5.9,0.29,0.32,1.4,0.022,17,47,0.9899,3.35,0.35,11.5,6,4.12310562561766
"1572",7.4,0.3,0.49,8.2,0.055,49,188,0.9974,3.52,0.58,9.7,6,7
"722",6,0.3,0.44,1.5,0.046,15,182,0.99455,3.5,0.52,10.4,5,3.87298334620742
"2609",7.5,0.25,0.32,8.2,0.024,53,209,0.99563,3.12,0.46,10.8,6,7.28010988928052
"3673",7.3,0.41,0.29,1.8,0.032,26,74,0.98889,2.96,0.35,13,8,5.09901951359278
"1920",7.3,0.22,0.5,13.7,0.049,56,189,0.9994,3.24,0.66,9,6,7.48331477354788
"1640",7.9,0.22,0.49,3.8,0.042,26,105,0.993,3.1,0.39,10.5,5,5.09901951359278
"2420",6.1,0.36,0.41,19.35,0.07,67,207,1.00118,3.39,0.53,9.1,5,8.18535277187245
"4054",7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7,7,5
"1210",8,0.23,0.46,1.5,0.03,30,125,0.9907,3.23,0.47,12.5,6,5.47722557505166
"2818",6.7,0.19,0.39,1,0.032,14,71,0.98912,3.31,0.38,13,7,3.74165738677394
"4107",5.3,0.23,0.56,0.9,0.041,46,141,0.99119,3.16,0.62,9.7,5,6.78232998312527
"1939",7.2,0.16,0.35,1.2,0.031,27,84,0.9928,3.33,0.34,9.9,5,5.19615242270663
"2558",6.4,0.15,0.44,1.2,0.043,67,150,0.9907,3.14,0.73,11.2,7,8.18535277187245
"2271",7.3,0.19,0.25,1.4,0.051,41,107,0.99382,3.53,0.66,10.5,7,6.40312423743285
"1494",8,0.34,0.49,9,0.033,39,180,0.9936,3.13,0.38,12.3,8,6.2449979983984
"2853",7.9,0.2,0.39,1,0.041,37,154,0.99093,3.08,0.43,11.9,5,6.08276253029822
"3670",5.9,0.37,0.32,1.6,0.029,41,102,0.98916,3.41,0.55,12.7,7,6.40312423743285
"4364",7.1,0.31,0.25,11.2,0.048,32,136,0.99663,3.14,0.4,9.5,5,5.65685424949238
"442",6.1,0.38,0.2,6.6,0.033,25,137,0.9938,3.3,0.69,10.4,6,5
"3340",7.6,0.17,0.27,4.6,0.05,23,98,0.99422,3.08,0.47,9.5,6,4.79583152331272
"4405",5.9,0.29,0.16,7.9,0.044,48,197,0.99512,3.21,0.36,9.4,5,6.92820323027551
"1228",6.9,0.18,0.38,6.5,0.039,20,110,0.9943,3.1,0.42,10.5,5,4.47213595499958
"3742",7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,7,5.3851648071345
"3196",7,0.21,0.42,5.3,0.037,36,123,0.99321,3.14,0.52,10.9,6,6
"3811",6.8,0.26,0.34,15.1,0.06,42,162,0.99705,3.24,0.52,10.5,3,6.48074069840786
"1702",7.9,0.29,0.36,11.1,0.033,43,208,0.9969,3.14,0.46,10.3,5,6.557438524302
"2717",7.8,0.25,0.34,13.7,0.044,66,184,0.99976,3.22,0.75,8.9,5,8.12403840463596
"131",5.7,0.26,0.25,10.4,0.02,7,57,0.994,3.39,0.37,10.6,5,2.64575131106459
"3444",6,0.16,0.22,1.6,0.042,36,106,0.9905,3.24,0.32,11.4,6,6
"3536",6.4,0.28,0.44,7.1,0.048,49,179,0.99528,3.15,0.48,9.2,5,7
"1534",7.3,0.26,0.49,5,0.028,32,107,0.9936,3.24,0.54,10.8,6,5.65685424949238
"1936",8.8,0.34,0.33,9.7,0.036,46,172,0.9966,3.08,0.4,10.2,5,6.78232998312527
"529",5.2,0.36,0.02,1.6,0.031,24,104,0.9896,3.44,0.35,12.2,6,4.89897948556636
"4173",6.8,0.34,0.27,5.2,0.06,14,169,0.99252,3.27,0.57,11.6,6,3.74165738677394
"1396",6.9,0.19,0.33,1.6,0.039,27,98,0.9898,3.09,0.46,12.3,7,5.19615242270663
"2195",6.4,0.18,0.32,9.6,0.052,24,90,0.9963,3.35,0.49,9.4,6,4.89897948556636
"1095",7.4,0.24,0.31,8.4,0.045,52,183,0.9963,3.09,0.32,8.8,5,7.21110255092798
"4501",7.8,0.27,0.33,2.4,0.053,36,175,0.992,3.2,0.55,11,6,6
"2186",7.5,0.18,0.31,11.7,0.051,24,94,0.997,3.19,0.44,9.5,7,4.89897948556636
"3512",6.5,0.19,0.28,1.4,0.046,22,90,0.99038,3.18,0.51,11.7,7,4.69041575982343
"4772",6.8,0.27,0.3,13,0.047,69,160,0.99705,3.16,0.5,9.6,6,8.30662386291807
"2103",6.2,0.34,0.3,11.1,0.047,28,237,0.9981,3.18,0.49,8.7,5,5.29150262212918
"1610",8.1,0.2,0.49,11.8,0.048,46,212,0.9968,3.09,0.46,10,7,6.78232998312527
"264",7.2,0.29,0.4,13.6,0.045,66,231,0.9977,3.08,0.59,9.6,6,8.12403840463596
"1814",7.2,0.15,0.38,1.2,0.038,18,110,0.9917,3.19,0.43,11.1,6,4.24264068711928
"1450",6.9,0.19,0.49,6.6,0.036,49,172,0.9932,3.2,0.27,11.5,6,7
"2809",7,0.27,0.48,6.1,0.042,60,184,0.99566,3.2,0.5,9.4,6,7.74596669241483
"1569",7.4,0.3,0.49,8.2,0.055,49,188,0.9974,3.52,0.58,9.7,6,7
"3001",6.7,0.18,0.28,10.2,0.039,29,115,0.99469,3.11,0.45,10.9,7,5.3851648071345
"2113",6.5,0.22,0.25,17.1,0.05,44,138,1.0001,3.3,0.37,8.8,5,6.6332495807108
"2292",8.6,0.17,0.28,2.7,0.047,38,150,0.99365,3.1,0.56,10.8,6,6.16441400296898
"2329",6.9,0.35,0.55,11.95,0.038,22,111,0.99687,3.11,0.29,9.7,5,4.69041575982343
"1083",6.3,0.27,0.25,5.8,0.038,52,155,0.995,3.28,0.38,9.4,6,7.21110255092798
"4348",7.1,0.23,0.3,2.6,0.034,62,148,0.99121,3.03,0.56,11.3,7,7.87400787401181
"715",6,0.39,0.26,2.7,0.038,39,187,0.99325,3.41,0.5,10.8,6,6.2449979983984
"2038",7.6,0.29,0.26,6.5,0.042,32,160,0.9944,3.14,0.47,10.7,5,5.65685424949238
"2899",8.6,0.18,0.28,0.8,0.032,25,78,0.99104,2.99,0.38,11.1,5,5
"1907",6,0.28,0.35,1.9,0.037,16,120,0.9933,3.16,0.69,10.6,5,4
"1513",7.3,0.22,0.49,9.4,0.034,29,134,0.9939,2.99,0.32,11,7,5.3851648071345
"4328",6.4,0.24,0.26,8.2,0.054,47,182,0.99538,3.12,0.5,9.5,5,6.85565460040104
"1659",6.6,0.31,0.49,7.7,0.05,52,220,0.9964,3.12,0.45,8.8,5,7.21110255092798
"736",6.4,0.25,0.3,5.5,0.038,15,129,0.9948,3.14,0.49,9.6,6,3.87298334620742
"3549",6.2,0.47,0.19,8.3,0.029,24,142,0.992,3.22,0.45,12.3,6,4.89897948556636
"4738",6.1,0.24,0.32,9,0.031,41,134,0.99234,3.25,0.26,12.3,7,6.40312423743285
"1460",7.9,0.11,0.49,4.5,0.048,27,133,0.9946,3.24,0.42,10.6,6,5.19615242270663
"1768",7.4,0.32,0.22,1.7,0.051,50,179,0.9955,3.28,0.69,8.9,5,7.07106781186548
"3324",7.1,0.17,0.31,1.6,0.037,15,103,0.991,3.14,0.5,12,6,3.87298334620742
"330",7.2,0.21,0.41,1.3,0.036,33,85,0.992,3.17,0.51,10.4,5,5.74456264653803
"2373",6,0.33,0.18,3,0.036,5,85,0.99125,3.28,0.4,11.5,4,2.23606797749979
"2050",6.3,0.28,0.24,8.45,0.031,32,172,0.9958,3.39,0.57,9.7,7,5.65685424949238
"4710",5.9,0.21,0.31,1.8,0.033,45,142,0.98984,3.35,0.5,12.7,6,6.70820393249937
"2913",6.5,0.22,0.32,2.2,0.028,36,92,0.99076,3.27,0.59,11.9,7,6
"2410",7.1,0.21,0.28,2.7,0.034,23,111,0.99405,3.35,0.64,10.2,4,4.79583152331272
"665",7.1,0.17,0.38,7.4,0.052,49,182,0.9958,3.35,0.52,9.6,6,7
"1871",6.3,0.19,0.21,1.8,0.049,35,163,0.9924,3.31,0.5,10.3,6,5.91607978309962
"3495",6.7,0.24,0.36,8.4,0.042,42,123,0.99473,3.34,0.52,10.9,6,6.48074069840786
"3800",7,0.3,0.28,2.2,0.042,21,177,0.99166,3.2,0.57,11.4,5,4.58257569495584
"14",6.6,0.16,0.4,1.5,0.044,48,143,0.9912,3.54,0.52,12.4,7,6.92820323027551
"3250",6.4,0.23,0.35,4.6,0.039,43,147,0.99216,3.18,0.4,11,7,6.557438524302
"600",6.9,0.19,0.4,1.4,0.036,14,55,0.9909,3.08,0.68,11.5,7,3.74165738677394
"4682",5.6,0.27,0.37,0.9,0.025,11,49,0.98845,3.29,0.33,13.1,6,3.3166247903554
"3708",6.7,0.34,0.43,1.6,0.041,29,114,0.99014,3.23,0.44,12.6,6,5.3851648071345
"3641",6.8,0.19,0.33,4.9,0.047,42,130,0.99283,3.12,0.56,11,6,6.48074069840786
"4421",6.6,0.22,0.23,17.3,0.047,37,118,0.99906,3.08,0.46,8.8,6,6.08276253029822
"4717",5.5,0.315,0.38,2.6,0.033,10,69,0.9909,3.12,0.59,10.8,6,3.16227766016838
"3479",6.2,0.36,0.45,10.4,0.06,22,184,0.99711,3.31,0.56,9.8,6,4.69041575982343
"2605",6.7,0.3,0.29,2.8,0.025,37,107,0.99159,3.31,0.63,11.3,7,6.08276253029822
"4048",6.9,0.19,0.35,13.5,0.038,49,118,0.99546,3,0.63,10.7,6,7
"2357",7.1,0.34,0.32,2,0.051,29,130,0.99354,3.3,0.5,10.4,6,5.3851648071345
"3936",7,0.46,0.2,16.7,0.046,50,184,0.99898,3.08,0.56,9.4,5,7.07106781186548
"4659",7.1,0.43,0.25,2.8,0.036,43,132,0.98975,3.21,0.47,13.4,6,6.557438524302
"3804",7.2,0.17,0.34,6.4,0.042,16,111,0.99278,2.99,0.4,10.8,6,4
"2649",6.6,0.23,0.29,14.45,0.057,29,144,0.99756,3.33,0.54,10.2,6,5.3851648071345
"1297",7.5,0.38,0.33,5,0.045,30,131,0.9942,3.32,0.44,10.9,6,5.47722557505166
"823",6.8,0.18,0.21,5.4,0.053,34,104,0.99445,3.3,0.43,9.4,5,5.8309518948453
"1127",6.5,0.115,0.29,1.95,0.038,73,166,0.989,3.12,0.25,12.9,7,8.54400374531753
"945",6.5,0.18,0.33,8,0.051,16,131,0.9965,3.28,0.44,8.7,7,4
"4444",7.2,0.47,0.16,5.9,0.048,14,125,0.99428,3.09,0.49,9.8,5,3.74165738677394
"800",6,0.18,0.31,1.4,0.036,14,75,0.99085,3.34,0.58,11.1,8,3.74165738677394
"467",7,0.14,0.32,9,0.039,54,141,0.9956,3.22,0.43,9.4,6,7.34846922834953
"541",6.7,0.31,0.31,9.9,0.04,10,175,0.9953,3.46,0.55,11.4,4,3.16227766016838
"4446",5,0.35,0.25,7.8,0.031,24,116,0.99241,3.39,0.4,11.3,6,4.89897948556636
"428",6.8,0.29,0.5,13.3,0.053,48,194,0.9974,3.09,0.45,9.4,5,6.92820323027551
"941",6.2,0.34,0.28,7.5,0.034,40,197,0.99485,3.14,0.6,9.7,5,6.32455532033676
"1380",6.9,0.46,0.2,0.9,0.054,5,126,0.992,3.1,0.42,10.4,6,2.23606797749979
"2054",8.6,0.485,0.29,4.1,0.026,19,101,0.9918,3.01,0.38,12.4,5,4.35889894354067
"4830",6,0.32,0.33,9.9,0.032,22,90,0.99258,3.1,0.43,12.1,7,4.69041575982343
"4658",6,0.29,0.41,10.8,0.048,55,149,0.9937,3.09,0.59,11,7,7.41619848709566
"2249",7.4,0.2,0.29,1.7,0.047,16,100,0.99243,3.28,0.45,10.6,6,4
"2663",7,0.23,0.33,1,0.043,46,110,0.99118,3.04,0.65,10.8,6,6.78232998312527
"4349",7.6,0.31,0.52,13.2,0.042,61,148,0.99839,2.98,0.47,9.1,6,7.81024967590665
"3623",7.2,0.24,0.3,1.2,0.037,11,95,0.98914,2.96,0.36,12.5,6,3.3166247903554
"1133",6.8,0.39,0.31,14.35,0.043,28,162,0.9988,3.17,0.54,9.1,5,5.29150262212918
"3970",6.4,0.17,0.3,2.8,0.034,33,125,0.99152,3.03,0.49,10.4,6,5.74456264653803
"577",8.2,0.23,0.29,1.8,0.047,47,187,0.9933,3.13,0.5,10.2,6,6.85565460040104
"1704",6.7,0.33,0.42,6.4,0.058,27,151,0.9954,3.16,0.44,9.6,5,5.19615242270663
"889",7.3,0.26,0.31,1.6,0.04,39,173,0.9918,3.19,0.51,11.4,6,6.2449979983984
"2147",7.2,0.115,0.3,6.8,0.056,26,105,0.9954,3.44,0.4,9.6,6,5.09901951359278
"2298",6.5,0.29,0.42,10.6,0.042,66,202,0.99674,3.24,0.53,9.5,6,8.12403840463596
"3124",5.5,0.18,0.22,5.5,0.037,10,86,0.99156,3.46,0.44,12.2,5,3.16227766016838
"907",8.3,0.27,0.45,1.3,0.048,8,72,0.9944,3.08,0.61,10.3,4,2.82842712474619
"718",7,0.27,0.41,18.75,0.042,34,157,1.0002,2.96,0.5,9.1,5,5.8309518948453
"4573",5.6,0.22,0.32,1.2,0.024,29,97,0.98823,3.2,0.46,13.05,7,5.3851648071345
"2610",7.1,0.2,0.3,0.9,0.019,4,28,0.98931,3.2,0.36,12,6,2
"3607",6.4,0.38,0.24,7.2,0.047,41,151,0.99604,3.11,0.6,9.2,5,6.40312423743285
